Front,Back,Tags,Deck,Card_Type,Priority,Source_Reference,GUID
"The AB-transfer rule's sub-rule (10):{{c1::temporary employees IN, casual labourers OUT}}; AB-transfer explanation: pension{{c2::as if Central servant retiring same day}}; the AB-transfer rule's sub-rule (15): DR on{{c3::Central DA pattern}}(contrast the PSU-absorption rule's sub-rule (16)).","<b>Rule:</b> Coverage fence + same-day fiction + Central-pattern DR.<br><br><b>Hinglish:</b> Temporary andar, casual bahar; pension usi-din-retire jaisi; DR Kendra-pattern par.<br><br><b>Ref:</b> Rule 38(10), 38(14), 38(15); Rule 38(10); Rule 38(14); Rule 38(15); Rule 37(16)",CCS_Pension Rule_38 Absorption Dearness_Relief CCS_Pension::Rule_38 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 38(10), 38(14), 38(15)",CCS21-307ed0ec
"The AB-transfer rule's sub-rule (16)(17):{{c1::Pension Fund trust, Chairperson = Secretary}}; the AB-transfer rule's sub-rule (19)(21): lump-sum one-time{{c2::capitalised value per 1981 Table}}; the AB-transfer rule's sub-rule (23)(25):{{c3::body contributes, Government covers shortfall, pre-conversion pensioners stay on Government}}.","<b>Rule:</b> Trust + capitalisation + money-backstop chain.<br><br><b>Hinglish:</b> Secretary wala Trust, 1981 Table se ek-mushth, kami Sarkar bharegi.<br><br><b>Ref:</b> Rule 38(16)-(25); Rule 38(16); Rule 17; Rule 38(19); Rule 21; Rule 38(23); Rule 25",CCS_Pension Rule_38 Absorption CCS_Pension::Rule_38 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 38(16), 38(17), 38(19)-(21), 38(23)-(25)",CCS21-7060e083
"The invalid-pension rule's sub-rule (1): disability retirement is governed by{{c1::RPwD Act 2016 s.20}}, with disability certificate under{{c2::RPwD Rules 2017}}(proviso).","<b>Rule:</b> Statute-first: the 2016 Act leads, Rules follow.<br><br><b>Hinglish:</b> Divyangta me 2016 kanoon sabse upar; certificate 2017 Rules se.<br><br><b>Ref:</b> Rule 39(1)",CCS_Pension Rule_39 Invalid_Pension CCS_Pension::Rule_39 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,Rule 39(1),CCS21-96eb9053
The invalid-pension rule's sub-rule (2):{{c1::bodily/mental infirmity permanently incapacitating}}; application to{{c2::HoD}}; first proviso signing order{{c3::self → spouse → family member}}; second proviso: advise{{c4::continuing in same pay scale}}if possible.,<b>Rule:</b> Infirmity test + application ladder + retention advice.<br><br><b>Hinglish:</b> Sthayi apangta; arzi HoD ko (khud→patni→parivaar); ho sake to usi vetan par rakho.<br><br><b>Ref:</b> Rule 39(2),CCS_Pension Rule_39 Invalid_Pension CCS_Pension::Rule_39 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,Rule 39(2),CCS21-c04d81e3
"The invalid-pension rule's sub-rule (9): even with QS &lt; 10 years, invalid pension ={{c1::50% of emoluments/average (whichever more beneficial)}}— — subject to{{c2::pre/post-appointment fit-declaration}}conditions.",<b>Rule:</b> The 10-year waiver that the pension rule's sub-rule 's proviso cross-links.<br><br><b>Hinglish:</b> 10 saal na bhi ho to aadhi pension — fit-declaration sharton ke saath.<br><br><b>Ref:</b> Rule 39(9); Rule 44(1) proviso; Rule 44(1); Rule 39(1),CCS_Pension Rule_39 Invalid_Pension CCS_Pension::Rule_39 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 39(9),CCS21-f3d521d0
The compulsory-retirement rule's sub-rule (1): compulsory-retirement pension ranges from{{c1::two-thirds to full}}superannuation pension/gratuity.,"<b>Rule:</b> Penalty-band: floor 2/3, ceiling full.<br><br><b>Hinglish:</b> Compulsory retirement me 2/3 se poori tak — dand ka paimana.<br><br><b>Ref:</b> Rule 40(1)",CCS_Pension Rule_40 Compulsory_Retirement Threshold CCS_Pension::Rule_40 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 40(1),CCS21-9ea4102e
The compulsory-retirement rule's sub-rule (2): less-than-full needs{{c1::President + UPSC consultation}}; Explanation: 'pension' here INCLUDES{{c2::retirement gratuity}}.,<b>Rule:</b> Cut below full = highest approval + UPSC; gratuity rides with pension.<br><br><b>Hinglish:</b> Poori se kam deni ho to Rashtrapati+UPSC; gratuity bhi isi me.<br><br><b>Ref:</b> Rule 40(2),CCS_Pension Rule_40 Explanation CCS_Pension::Rule_40 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,Rule 40(2),CCS21-685aa3c8
The compulsory-retirement rule's sub-rule (3): quantum order timing +{{c1::2/3 provisional pension immediately}}; the compulsory-retirement rule's sub-rule (4): FINAL order in{{c2::3 months}}; the compulsory-retirement rule's sub-rule (5): floor ={{c3::minimum}}.,"<b>Rule:</b> Immediate 2/3 lifeline; 3-month finality; Rs 9,000 floor.<br><br><b>Hinglish:</b> Turant 2/3 do, 3 mahine me pakka karo, 9,000 se kam nahi.<br><br><b>Ref:</b> Rule 40(3), 40(4), 40(5); Rule 40(3); Rule 40(4); Rule 40(5); Rule 44",CCS_Pension Rule_40 Timeline Floor CCS_Pension::Rule_40 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,"Rule 40(3), 40(4), 40(5)",CCS21-271e7727
"The compassionate-allowance rule's sub-rule (1): dismissal/removal FORFEITS pension, but proviso allows{{c1::compassionate allowance up to 2/3}}on{{c2::special consideration by authority}}.",<b>Rule:</b> Forfeiture is default; compassion (≤2/3) is discretion.<br><br><b>Hinglish:</b> Barkhastagi = pension gayi; daya me 2/3 tak mil sakta hai.<br><br><b>Ref:</b> Rule 41(1),CCS_Pension Rule_41 Compassionate_Allowance Threshold CCS_Pension::Rule_41 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 41(1),CCS21-911f642d
"The compassionate-allowance rule's sub-rule (2):{{c1::suo motu or on representation}}, decided in{{c2::3 months}}; compassionate-allowance merits:{{c3::actual misconduct + nature of service + exceptional circumstances (dependent family)}}.","<b>Rule:</b> Authority can act alone or on plea; 3-month clock; 3-factor merits test.<br><br><b>Hinglish:</b> Khud ya arzi par, 3 mahine me; apradh + naukri + parivaar ki haalat dekho.<br><br><b>Ref:</b> Rule 41(2), 41(3); Rule 41(2); Rule 41(3)",CCS_Pension Rule_41 Timeline CCS_Pension::Rule_41 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 41(2), 41(3)",CCS21-8d403d70
"The compassionate-allowance rule's sub-rule (4)(5): pre-commencement cases had a{{c1::6-month deadline}}— after that,{{c2::NO compassionate allowance}}; the compassionate-allowance rule's sub-rule (6): floor ={{c3::minimum}}.","<b>Rule:</b> Dead window for old cases; floor Rs 9,000 for allowed ones.<br><br><b>Hinglish:</b> Purane cases ke 6 mahine gaye to daya bhi gayi; mile to 9,000 se kam nahi.<br><br><b>Ref:</b> Rule 41(4), 41(5), 41(6); Rule 41(4); Rule 5; Rule 41(6); Rule 44",CCS_Pension Rule_41 Timeline Floor CCS_Pension::Rule_41 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 41(4), 41(5), 41(6)",CCS21-ef4eed7c
Compulsory Retirement vs Compassionate Allowance: compulsory retirement gives{{c1::2/3 to FULL}}(a right in a band) while dismissal/removal gives{{c2::ZERO with up-to-2/3 compassion}}(pure discretion).,<b>Rule:</b> the compulsory-retirement rule = entitlement band; the compassionate-allowance rule = forfeiture + mercy cap. Both bottom out at minimum when granted.<br><br><b>Hinglish:</b> Compulsory me haq (2/3-poori); barkhastagi me bheekh (0-2/3).<br><br><b>Trap:</b> 2/3 vs full framing.<br><br><b>Ref:</b> Rule 40; Rule 41; Rule 44,CCS_Pension Rule_40 Rule_41 Comparison CCS_Pension::Rule_40 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 40; Rule 41,CCS21-d9bc7ce9
"The premature-retirement rule's sub-rule (1): after{{c1::30 years QS}}, appointing authority{{c2::MAY require}}retirement in{{c3::public interest}}→{{c4::retiring pension per}}.","<b>Rule:</b> Government's weapon: 30-year gate, discretionary, public-interest ground.<br><br><b>Hinglish:</b> 30 saal ke baad Sarkar jan-hit me retire kara sakti hai — pension pension se.<br><br><b>Ref:</b> Rule 42(1); Rule 44",CCS_Pension Rule_42 Premature_Retirement Threshold CCS_Pension::Rule_42 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 42(1),CCS21-88e2ce43
The premature-retirement rule's sub-rule (2): notice{{c1::3 months or 3 months' pay}}— and 'may' makes it{{c2::DISCRETIONARY}}; the premature-retirement rule's sub-rule (3):{{c3::DoPT procedure}}; Explanation: competent authority ={{c4::appointing authority}}.,"<b>Rule:</b> Notice/pay is optional ('may'); the FR procedure procedure via DoPT; authority = appointing authority.<br><br><b>Hinglish:</b> Notice/vetan dena marzi; tareeka the FR procedure wala; adhikar niyukti-adhikari ka.<br><br><b>Trap:</b> 'may' = discretionary.<br><br><b>Ref:</b> Rules 42(2), 42(3); Rule 42(2); Rule 42(3); FR 56",CCS_Pension Rule_42 Timeline CCS_Pension::Rule_42 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 42(2), 42(3)",CCS21-51f498a4
"The voluntary-retirement rule's sub-rule (1): after{{c1::20 years QS}}, servant{{c2::MAY retire}}on{{c3::3-month written notice}}to appointing authority →{{c4::retiring pension per}}.","<b>Rule:</b> Servant's right: 20-year gate, mandatory 3-month written notice.<br><br><b>Hinglish:</b> 20 saal ke baad karmchari khud 3-mahine ke notice par retire — pension pension se.<br><br><b>Ref:</b> Rule 43(1); Rule 44",CCS_Pension Rule_43 Voluntary_Retirement Threshold Timeline CCS_Pension::Rule_43 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 43(1),CCS21-45a8007b
"The voluntary-retirement rule's 's 4 provisos: first,{{c1::QS certificate BEFORE notice, appropriate administrative authority, 15-day deadline}}; second,{{c2::must satisfy 20 years completed}}; third,{{c3::ITEC/foreign posting exempt till 1 year after return}}; fourth,{{c4::NO pension clause rounding for the 20 years}}.","<b>Rule:</b> Certificate-gate + completion-gate + ITEC-grace + no-rounding rule.<br><br><b>Hinglish:</b> Pehle certificate (15 din), 20 saal pakke, videsh walo ko 1 saal, rounding BILKUL nahi.<br><br><b>Trap:</b> Fourth proviso (no rounding) is the classic trap.<br><br><b>Ref:</b> Rule 43 provisos 1-4; Rule 43; Rule 44(7)",CCS_Pension Rule_43 Proviso Exam_Trap CCS_Pension::Rule_43 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,CRITICAL,Rule 43(1) First to Fourth Provisos,CCS21-346065d0
The voluntary-retirement rule's sub-rule (2): no refusal before expiry → retirement{{c1::AUTOMATICALLY effective}}; the voluntary-retirement rule's sub-rule (3):{{c2::withholding for suspension/charge sheet/judicial proceedings}}needs{{c3::President's approval}}.,"<b>Rule:</b> Silence = approval; but tainted cases can be held only with President's nod.<br><br><b>Hinglish:</b> Mana nahi kiya to retirement pakki; daag ho to rokne ke liye Rashtrapati ki haan.<br><br><b>Ref:</b> Rule 43(2), 43(3); Rule 43(2); Rule 43(3)",CCS_Pension Rule_43 Procedure CCS_Pension::Rule_43 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 43(2), 43(3)",CCS21-60494ecd
"The voluntary-retirement rule's sub-rule (4): short (&lt;3-month) notice curtails{{c1::commutation}}; the voluntary-retirement rule's sub-rule (6): withdrawal ONLY with{{c2::specific approval}}, sought{{c3::15 days before}}intended date; the voluntary-retirement rule's sub-rule (7):{{c4::Special VRS / autonomous / PSU cases excluded}}.","<b>Rule:</b> Short notice costs commutation; withdrawal is permission-gated (15-day); special schemes stay out.<br><br><b>Hinglish:</b> Chhota notice = commutation khatre me; wapsi permission se (15 din pehle); special schemes bahar.<br><br><b>Ref:</b> Rule 43(4), 43(6), 43(7); Rule 43(4); Rule 43(6); Rule 43(7)",CCS_Pension Rule_43 Timeline CCS_Pension::Rule_43 Priority::High,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Cloze,HIGH,"Rule 43(4), 43(6), 43(7)",CCS21-cfe9a0c6
Master comparison: Premature Retirement vs Voluntary Retirement,"<b>Rule:</b> Premature Retirement rule: AUTHORITY initiates, 30y, public interest, notice discretionary (may), rounding irrelevant; the voluntary-retirement rule: SERVANT initiates, 20y, no ground needed (right), 3-month notice MANDATORY, NO pension clause rounding. Both → pension retiring pension.<br><br><b>Hinglish:</b> 42 = Sarkar ki taakat (30, jan-hit); 43 = karmchari ka haq (20, notice, no-rounding). Pension dono me the pension rule.<br><br><b>Ref:</b> Rules 42, 43; Rule 42; Rules 43; Rule 44; Rule 43",CCS_Pension Rule_42 Rule_43 Comparison CCS_Pension::Rule_42 Priority::Critical,CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,Basic,CRITICAL,Rule 42; Rule 43,CCS21-9ad10d33
"The pension rule's sub-rule (1): QS ≥{{c1::10 years}}(under superannuation) → pension ={{c2::50% of emoluments/average, whichever MORE beneficial}}, floor{{c3::Rs 9,000}}, ceiling{{c4::Rs 1,25,000}}.","<b>Rule:</b> 7 pension classes feed the pension rule; proviso waives 10y for invalid pension cases (with invalid-pension conditions).<br><br><b>Hinglish:</b> 10 saal + aadhi tankhvah (jo badi) — 9,000 se kam nahi, 1,25,000 se zyada nahi.<br><br><b>Ref:</b> Rule 44(1); Rule 33; Rule 39; Rule 39(9); Rule 44",CCS_Pension Rule_44 Pension_Calculation Threshold Floor Ceiling CCS_Pension::Rule_44 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 44(1),CCS21-5d66e164
"The pension rule's sub-rule (2)(3): QS &lt; 10 years →{{c1::service gratuity}}={{c2::half-month emoluments per completed 6-monthly period}},{{c3::no min/max}},{{c4::one-time}}payment.","<b>Rule:</b> Service gratuity is the sub-10-year substitute for pension — paid once, uncapped.<br><br><b>Hinglish:</b> 10 se kam seva = ek-mushth service gratuity (aadha-mahina × chhamahi); koi seema nahi.<br><br><b>Ref:</b> Rule 44(2), 44(3); Rule 44(2); Rule 3",CCS_Pension Rule_44 Gratuity CCS_Pension::Rule_44 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,"Rule 44(2), 44(3)",CCS21-bf54fef5
"The pension rule's sub-rule (6) additional pension slabs (on BASIC pension, by RETIRED person's age, from 1st of month): 80–85{{c1::20%}}, 85–90{{c2::30%}}, 90–95{{c3::40%}}, 95–100{{c4::50%}}, 100+{{c5::100%}}— NOTE: no{{c6::60%}}slab.",<b>Rule:</b> 5 slabs: 20/30/40/50/100; base = basic pension (not +DR); trigger = pensioner's own age.<br><br><b>Hinglish:</b> 80 ke baad 20-30-40-50-100; basic pension par; 60% naam ki seedhi NAHI.<br><br><b>Trap:</b> No 60% slab.<br><br><b>Ref:</b> Rule 44(6),CCS_Pension Rule_44 Additional_Pension Threshold Mnemonic CCS_Pension::Rule_44 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 44(6),CCS21-86bf4987
The pension rule's sub-rule (7): service fraction ≥{{c1::3 months}}counts as a{{c2::completed 6-monthly period}}; pension near-miss:{{c3::9y 9m+ = 10 years}}(pension gate).,"<b>Rule:</b> Rounding builds 6-monthly blocks; 9y9m fiction opens the pension door (gratuity's twin: 4y9m = 5y under the gratuity rule).<br><br><b>Hinglish:</b> 3 mahine = aadha saal; 9y9m matlab 10 saal — pension mil gayi.<br><br><b>Ref:</b> Rule 44(7), 44(8); Rule 44(7); Rule 44(8); Rule 45",CCS_Pension Rule_44 Near_Miss Threshold CCS_Pension::Rule_44 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,"Rule 44(7), 44(8)",CCS21-9f60b771
"The pension rule's sub-rule (9): each amount rounded to{{c1::whole rupees, next higher}}, computed{{c2::separately for each amount}}; the pension rule's sub-rule (10):{{c3::broken-period}}rounding follows the same next-higher logic.","<b>Rule:</b> Round each pension/gratuity head independently upward — never pool then round.<br><br><b>Hinglish:</b> Har rakam alag se upar ki taraf gol; jod kar gol mat karo.<br><br><b>Ref:</b> Rule 44(9), 44(10); Rule 44(9); Rule 44(10)",CCS_Pension Rule_44 Procedure CCS_Pension::Rule_44 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,"Rule 44(9), 44(10)",CCS21-84737b46
"QS 9y10m, emoluments Rs 60,000: pension or service gratuity, and how much?","<b>Rule:</b> 9y10m &gt; 9y9m → pension deems 10y → PENSION case: 50% × 60,000 = Rs 30,000/month (in 9,000–1,25,000 band) + separate retirement gratuity under the gratuity rule's sub-rule.<br><br><b>Hinglish:</b> Ek mahine ne gratuity ko pension bana diya — 30,000/month.<br><br><b>Ref:</b> Rule 44(1), 44(8); Example 2; Rule 44(8); Rule 45(1)(a); Rule 44(1); Rule 44(a)",CCS_Pension Rule_44 Near_Miss Scenario Worked_Example CCS_Pension::Rule_44 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Basic,CRITICAL,"Rule 44(1), 44(8); Worked Example 2",CCS21-1359aff6
"The gratuity rule's sub-rule (1)(a): retirement gratuity needs{{c1::5-year QS AND pension/service-gratuity eligibility}}; formula{{c2::one-fourth emoluments × completed 6-monthly periods}}, capped at{{c3::16.5 × emoluments}}+ overall{{c4::Rs 25 lakh operative}}ceiling.","<b>Rule:</b> Dual gate (5y + pension-eligible); ¼-rate; 16.5× emoluments cap; then Rs 25L overall cap (rule text Rs 20L).<br><br><b>Hinglish:</b> 5 saal + pension-wala; chauthai × chhamahi; 16.5 guna, phir 25 lakh.<br><br><b>Ref:</b> Rule 45(1)",CCS_Pension Rule_45 Gratuity Threshold Ceiling CCS_Pension::Rule_45 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 45(1)(a),CCS21-f6272a1d
"The gratuity rule's sub-rule (1)(b) death gratuity slabs: &lt;1y{{c1::2× emoluments}}; 1–5y{{c2::6×}}; 5–11y{{c3::12×}}; 11–20y{{c4::20×}}; 20y+{{c5::half-month × each 6-monthly, max 33×}}.",<b>Rule:</b> 5 slabs: gratuity/gratuity/gratuity/military-counting/superannuation — the 20y+ slab uses half-month rate (like service gratuity) with 33× cap.<br><br><b>Hinglish:</b> 2-6-12-20-33 — maut-gratuity ki seedhi; aakhri me aadha-mahina wala formula.<br><br><b>Mnemonic:</b> 'Do-Che-Barah-Bees-T33tees'.<br><br><b>Ref:</b> Rule 45(1)(b); Rule 45(1); Rule 45; Rule 20; Rule 33,CCS_Pension Rule_45 Death_Gratuity Threshold Mnemonic CCS_Pension::Rule_45 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 45(1)(b),CCS21-9b459030
Death gratuity: QS 7y →{{c1::12×}}; QS 12y →{{c2::20×}}; QS 25y (50 six-monthly) →{{c3::half-month × 50 = 25×}}(within 33× cap).,<b>Rule:</b> Slab-pick by QS band; 20y+ uses arithmetic (½ × N six-monthly) capped at 33×.<br><br><b>Hinglish:</b> 7 saal = 12 guna; 12 saal = 20 guna; 25 saal = 25 guna (33 ke andar).<br><br><b>Ref:</b> Rule 45(1)(b); Example 4,CCS_Pension Rule_45 Death_Gratuity Application CCS_Pension::Rule_45 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 45(1)(b),CCS21-d3c4b743
"Gratuity ceiling: CURRENT{{c1::Rs 25 lakh w.e.f. 01.01.2024 (OM 30.05.2024)}}; rule text{{c2::Rs 20 lakh}}— applies to BOTH retirement AND death gratuity, AFTER the multiple.","<b>Rule:</b> 7th CPC +25% on DA hitting 50%; applies to CCS (Pension) 2021 + CCS (Gratuity under NPS) 2021 civil staff only (Oct-2025 clarification). ⚠️ VOLATILE — re-check OM.<br><br><b>Hinglish:</b> Rule me 20, lagu 25 (01.01.2024 se); guna ke BAAD kaato; civilians ko hi.<br><br><b>Last verified:</b> 2026-09-20<br><br><b>Ref:</b> Rule 45(1) proviso; OM 30.05.2024",CCS_Pension Rule_45 Ceiling Threshold Gratuity CCS_Pension::Rule_45 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 45(1) First Proviso; DoPPW OM dt. 30.05.2024,CCS21-4ea26d0a
The gratuity rule's sub-rule (2): death by{{c1::suicide}}is COVERED for death gratuity. the gratuity rule's sub-rule (3):{{c2::residuary gratuity}}pays if death occurs{{c3::within 5 years of retirement}}— deficiency vs{{c4::12× emoluments}}.,"<b>Rule:</b> Suicide ≠ disqualification; residuary tops up (pension+gratuity drawn) to 12× emoluments.<br><br><b>Hinglish:</b> Khudkushi par bhi death gratuity; retirement ke 5 saal me maut to 12-guna top-up.<br><br><b>Ref:</b> Rule 45(2), 45(3); Rule 45(2); Rule 45(3)",CCS_Pension Rule_45 Death_Gratuity Residuary_Gratuity CCS_Pension::Rule_45 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,"Rule 45(2), 45(3)",CCS21-77080037
The gratuity rule's sub-rule (4)(5): same{{c1::3-month}}rounding; near-miss{{c2::4y 9m = 5 years}}(gratuity gate). Contrast with the pension rule's sub-rule (8).,"<b>Rule:</b> 4y9m opens GRATUITY; 9y9m opens PENSION — the twin near-miss trap.<br><br><b>Hinglish:</b> 4y9m = gratuity, 9y9m = pension — judvaan jaal.<br><br><b>Trap:</b> 4y9m vs 9y9m.<br><br><b>Ref:</b> Rule 45(4), 45(5); Rule 44(8); Rule 45(4); Rule 5; Rule 45; Rule 44",CCS_Pension Rule_45 Near_Miss Exam_Trap CCS_Pension::Rule_45 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,"Rule 45(4), 45(5)",CCS21-c32bf8f3
The gratuity rule's sub-rule (6): gratuity emoluments ={{c1::emoluments pay}}(average if pay reduced) +{{c2::DA as on death/retirement date}}.,<b>Rule:</b> DA joins ONLY gratuity math (and DR-style updates); pension math stays DA-free.<br><br><b>Hinglish:</b> Gratuity me DA judta hai (us din ka); pension me nahi.<br><br><b>Ref:</b> Rule 45(6); Rule 31,CCS_Pension Rule_45 Emoluments CCS_Pension::Rule_45 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,Rule 45(6),CCS21-bd9cc7b1
"Pension + retirement gratuity are{{c1::ADDITION, not alternative}}(QS ≥ 10y); service gratuity is the{{c2::sub-10-year SUBSTITUTE}}for pension.","<b>Rule:</b> 10y+ gets BOTH pension AND gratuity; &lt;10y gets ONLY pension service gratuity.<br><br><b>Hinglish:</b> 10+ par dono; 10 se kam par sirf service gratuity.<br><br><b>Trap:</b> Addition vs alternative.<br><br><b>Ref:</b> Rules 44, 45; Rule 44; Rule 45(1)(a); Rule 44(2)(3)-(3)",CCS_Pension Rule_44 Rule_45 Comparison CCS_Pension::Rule_44 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,Rule 44; Rule 45,CCS21-11f941e2
The gratuity-nomination rule's sub-rule (1): gratuity nomination in{{c1::Form 3}}at{{c2::initial appointment}}; the gratuity-nomination rule's sub-rule (10): effective from{{c3::receipt by HoO}}.,"<b>Rule:</b> Nominate early in Form 3; power starts when HoO receives it.<br><br><b>Hinglish:</b> Shuruaat me Form 3; HoO ko mile tab se lagu.<br><br><b>Ref:</b> Rule 46(1), 46(10); Rule 46(1); Rule 46(10)",CCS_Pension Rule_46 Nomination Form Timeline CCS_Pension::Rule_46 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,"Rule 46(1), 46(10)",CCS21-bedd9796
The gratuity-nomination rule's sub-rule (2): WITH family → nomination of family is{{c1::'shall' (mandatory)}}; WITHOUT family → outsider/body nomination is{{c2::'may' (permissive)}}.,"<b>Rule:</b> Shall vs may — family existence flips the verb.<br><br><b>Hinglish:</b> Parivaar ho to 'karna hi hai'; na ho to 'kar sakte ho'.<br><br><b>Trap:</b> Shall vs may.<br><br><b>Ref:</b> Rule 46(2)(i), 46(2)(ii); Rule 46(2)",CCS_Pension Rule_46 Nomination Exam_Trap CCS_Pension::Rule_46 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,"Rule 46(2)(i), 46(2)(ii)",CCS21-02182d00
The gratuity-nomination rule's sub-rule (3):{{c1::multiple nominees with specified shares}}allowed; the gratuity-nomination rule's sub-rule (4)(i):{{c2::alternate nominee}}allowed — first proviso: alternate should be{{c3::family member}}; second proviso:{{c4::single-member-family exception}}.,"<b>Rule:</b> Split shares freely; alternates prefer family, with a lone-member escape.<br><br><b>Hinglish:</b> Hissa baant do; alternate parivaar se (akela sadasya ho to chhoot).<br><br><b>Ref:</b> Rule 46(3), 46(4); Rule 46(3); Rule 46(4)",CCS_Pension Rule_46 Nomination Proviso CCS_Pension::Rule_46 Priority::High,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,HIGH,"Rule 46(3), 46(4)(i)",CCS21-563d4431
The gratuity-nomination rule's sub-rule (5)(a): family ACQUIRED after outsider nomination →{{c1::ENTIRE nomination invalid}}(2022: words '{{c2::proviso to}}' deleted); vs the gratuity-nomination rule: single member + outsider alternate →{{c3::ONLY alternate invalid}}.,"<b>Rule:</b> kills all kills alternate only — G.S.R. 770(E) drafting fix.<br><br><b>Hinglish:</b> Parivaar aaya to poora nomination gaya; eka-sadasya me sirf alternate gaya.<br><br><b>Ref:</b> Rule 46(5)(a), 46(5)(b); Rule 46(5); Rule 46(5)(b); Rule 46(a); Rule 46(b)",CCS_Pension Rule_46 GSR_770_E_2022 Comparison CCS_Pension::Rule_46 Priority::Critical,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,Cloze,CRITICAL,"Rule 46(5)(a), 46(5)(b)",CCS21-0d2e592a
